transaction_id,customer_id,amount,merchant_category,is_online,timestamp,is_fraud
3c15769d-f0f8-1a5c-7a77-1f92c5652b3b,CUST0088,16.57,grocery,0,2026-01-01T10:51:18.923178+00:00,0
a02f8c60-4249-732d-2b6f-0f65d1c9c8b2,CUST0169,165.4,restaurant,0,2025-12-31T03:04:09.622551+00:00,0
bb12b097-6c2a-55ac-f96d-abce271fbb9e,CUST0006,1009.57,gas_station,1,2025-12-31T03:07:27.498818+00:00,1
4b42dcd4-77ad-9d68-b24a-df5690528831,CUST0085,75.26,travel,0,2025-12-31T07:36:13.980272+00:00,0
ee98a2ad-2f3b-b81a-0d16-f7aa95a29023,CUST0097,112.43,department_store,0,2026-01-01T04:23:52.179301+00:00,0
deaa60c5-6c86-831d-7db4-b9772c96192a,CUST0183,289.6,grocery,1,2026-01-01T15:21:16.537746+00:00,0
deb43d8a-0025-144c-313f-357441e0dddc,CUST0184,36.76,travel,0,2026-01-01T08:52:13.388542+00:00,0
1c9e12f0-fb55-1545-83df-f23b05042fd7,CUST0158,100.04,pharmacy,1,2025-12-31T07:36:11.734345+00:00,0
9cd2075b-1e1b-2e48-7a83-efbe580af3cd,CUST0073,170.88,travel,0,2026-01-01T07:31:03.751912+00:00,0
320bc823-5049-e651-d02a-bf3a6e9a7ea3,CUST0012,51.51,travel,0,2026-01-01T05:21:02.549024+00:00,0
18279a10-7f78-5ffd-0c0c-6c0361160d77,CUST0104,101.56,department_store,0,2026-01-01T22:49:41.738394+00:00,0
b44ee12d-921c-35e5-9696-65b131dbcf56,CUST0155,44.63,online_retail,0,2025-12-31T07:35:33.288347+00:00,0
54768a0a-cf4c-9e3c-a35c-c9cf618b4389,CUST0147,117.43,gas_station,1,2026-01-01T12:29:11.846691+00:00,0
982eba08-98a2-a4b2-6433-c708ad0c2603,CUST0109,28.03,restaurant,1,2026-01-01T19:34:57.433873+00:00,0
e237077c-ffbc-52f3-4bde-3988cab47199,CUST0031,99.49,travel,0,2026-01-01T09:47:30.318863+00:00,0
8eb1e54e-a4b9-d581-d337-68f91de0242b,CUST0040,205.58,travel,0,2025-12-31T22:16:08.138699+00:00,0
56435c18-79f7-d7eb-00d7-dbedde46274f,CUST0141,149.54,gas_station,1,2026-01-01T23:41:19.625200+00:00,0
21c8e3b5-3cad-525f-c6ff-09169b162319,CUST0089,46.12,pharmacy,0,2025-12-31T12:13:58.338114+00:00,0
ce05975a-90fd-08ad-16dd-b835f344d2c5,CUST0156,38.96,entertainment,1,2025-12-31T09:58:13.527757+00:00,0
154d3335-452b-4e3b-79f6-35ce7a14762d,CUST0173,102.8,restaurant,0,2025-12-31T23:24:59.633874+00:00,0
0ae71c83-669a-ea3b-d4e2-1bfc468327db,CUST0072,66.45,pharmacy,0,2025-12-31T23:52:47.483115+00:00,0
6af3255b-969a-6221-c227-4f3d75b964b6,CUST0081,170.33,online_retail,1,2025-12-31T22:21:21.780672+00:00,0
53b7dae5-4836-7b49-0f74-2601f0ac0953,CUST0180,154.81,online_retail,1,2025-12-31T02:35:48.089658+00:00,0
9823eb04-3080-e58d-563d-0928f2577175,CUST0089,80.45,pharmacy,1,2025-12-31T15:40:58.520378+00:00,0
b356c192-0f32-1450-49af-26d44be44df1,CUST0160,148.33,gas_station,0,2026-01-01T04:26:05.137509+00:00,0
b69f6aca-42f8-0aa2-eee9-1d0bacf1cbb9,CUST0066,25.54,restaurant,1,2025-12-31T01:58:17.033616+00:00,0
782065e4-4948-2367-c3b2-741e27f236fa,CUST0020,69.89,gas_station,0,2026-01-01T07:40:43.060836+00:00,0
faed0254-9e3c-8ee0-44ab-76d4408b30d9,CUST0052,241.87,pharmacy,0,2026-01-01T08:38:22.267011+00:00,0
e20d8402-c9b5-3301-b68e-c6b235fdba55,CUST0173,95.76,travel,0,2026-01-01T23:17:25.939810+00:00,0
